,antecedants,consequents,support,confidence,lift,a_len,str_a
104,frozenset(['Cars']),"frozenset(['Entertainment spending', 'male'])",0.307926829,0.366336634,1.749879842,1,Cars
176,frozenset(['Cars']),"frozenset(['male', 'Outdoor activities'])",0.307926829,0.402640264,1.745365726,1,Cars
336,frozenset(['Cars']),"frozenset(['Entertainment spending', 'city', 'male'])",0.307926829,0.254125413,1.701084394,1,Cars
46,frozenset(['Cars']),frozenset(['male']),0.307926829,0.683168317,1.684806075,1,Cars
10,frozenset(['Cars']),"frozenset(['city', 'male'])",0.307926829,0.468646865,1.65286206,1,Cars
86,frozenset(['Cars']),"frozenset(['city', 'male', 'Outdoor activities'])",0.307926829,0.254125413,1.645127671,1,Cars
76,frozenset(['Reading']),"frozenset(['Outdoor activities', 'female', 'village'])",0.451219512,0.177927928,1.423423423,1,Reading
37,frozenset(['Entertainment spending']),"frozenset(['Economy Management', 'male'])",0.408536585,0.171641791,1.407462687,1,Entertainment spending
295,frozenset(['Reading']),"frozenset(['female', 'village'])",0.451219512,0.236486486,1.35292269,1,Reading
335,frozenset(['Entertainment spending']),"frozenset(['Cars', 'male', 'city'])",0.408536585,0.191542289,1.327307126,1,Entertainment spending
317,frozenset(['Reading']),"frozenset(['Outdoor activities', 'female'])",0.451219512,0.5,1.322580645,1,Reading
92,frozenset(['Reading']),"frozenset(['Healthy eating', 'female'])",0.451219512,0.213963964,1.315878378,1,Reading
225,frozenset(['Reading']),"frozenset(['Healthy eating', 'female', 'city'])",0.451219512,0.157657658,1.314704535,1,Reading
103,frozenset(['Entertainment spending']),"frozenset(['Cars', 'male'])",0.408536585,0.276119403,1.312567597,1,Entertainment spending
120,frozenset(['Reading']),"frozenset(['Entertainment spending', 'city', 'female'])",0.451219512,0.189189189,1.301833302,1,Reading
141,frozenset(['Entertainment spending']),"frozenset(['city', 'male'])",0.408536585,0.365671642,1.289680629,1,Entertainment spending
151,frozenset(['Reading']),"frozenset(['Entertainment spending', 'Outdoor activities', 'female'])",0.451219512,0.162162162,1.286835222,1,Reading
312,frozenset(['Reading']),frozenset(['female']),0.451219512,0.759009009,1.285481695,1,Reading
