,str_a,antecedants,consequents,support,confidence,lift,a_len
152,Cars,Cars,"Entertainment spending, male",0.307926829,0.366336634,1.749879842,1
294,Cars,Cars,"male, Outdoor activities",0.307926829,0.402640264,1.745365726,1
556,Cars,Cars,"male, Outdoor activities, 19-22",0.307926829,0.240924092,1.705534582,1
644,Cars,Cars,"Entertainment spending, city, male",0.307926829,0.254125413,1.701084394,1
98,Cars,Cars,male,0.307926829,0.683168317,1.684806075,1
24,Cars,Cars,"city, male",0.307926829,0.468646865,1.65286206,1
145,Cars,Cars,"male, 19-22",0.307926829,0.419141914,1.649742574,1
380,Cars,Cars,"city, male, Outdoor activities",0.307926829,0.254125413,1.645127671,1
547,Cars,Cars,"city, male, 19-22",0.307926829,0.290429043,1.633041018,1
369,Reading,Reading,"Entertainment spending, 19-22, female",0.451219512,0.171171171,1.452003728,1
276,Reading,Reading,"Outdoor activities, female, village",0.451219512,0.177927928,1.423423423,1
81,Entertainment spending,Entertainment spending,"Economy Management, male",0.408536585,0.171641791,1.407462687,1
471,Reading,Reading,"19-22, city, Outdoor activities, female",0.451219512,0.209459459,1.402095974,1
307,Reading,Reading,"19-22, Outdoor activities, female",0.451219512,0.315315315,1.385135135,1
571,Reading,Reading,"female, village",0.451219512,0.236486486,1.35292269,1
501,Reading,Reading,"city, 19-22, female",0.451219512,0.335585586,1.347821291,1
201,Reading,Reading,"19-22, female",0.451219512,0.470720721,1.338697079,1
643,Entertainment spending,Entertainment spending,"Cars, male, city",0.408536585,0.191542289,1.327307126,1
599,Reading,Reading,"Outdoor activities, female",0.451219512,0.5,1.322580645,1
134,Reading,Reading,"Healthy eating, female",0.451219512,0.213963964,1.315878378,1
415,Reading,Reading,"Healthy eating, female, city",0.451219512,0.157657658,1.314704535,1
151,Entertainment spending,Entertainment spending,"Cars, male",0.408536585,0.276119403,1.312567597,1
184,Reading,Reading,"Entertainment spending, city, female",0.451219512,0.189189189,1.301833302,1
217,Entertainment spending,Entertainment spending,"city, male",0.408536585,0.365671642,1.289680629,1
227,Reading,Reading,"Entertainment spending, Outdoor activities, female",0.451219512,0.162162162,1.286835222,1
588,Reading,Reading,female,0.451219512,0.759009009,1.285481695,1
195,Reading,Reading,"city, Outdoor activities, female",0.451219512,0.322072072,1.277898867,1
258,Reading,Reading,"Entertainment spending, female",0.451219512,0.252252252,1.272903673,1
332,Economy Management,Economy Management,"Cars, city",0.283536585,0.272401434,1.270346023,1
26,Entertainment spending,Entertainment spending,male,0.408536585,0.512437811,1.263756406,1
232,Reading,Reading,"city, female",0.451219512,0.522522523,1.260201378,1
563,Entertainment spending,Entertainment spending,"city, Economy Management",0.408536585,0.253731343,1.248358209,1
629,Outdoor activities,Outdoor activities,"19-22, female, village",0.610772358,0.126455907,1.244326123,1
565,Economy Management,Economy Management,"Entertainment spending, city",0.283536585,0.365591398,1.236226582,1
331,Cars,Cars,"city, Economy Management",0.307926829,0.250825083,1.234059406,1
347,Entertainment spending,Entertainment spending,"male, Outdoor activities, 19-22",0.408536585,0.174129353,1.232685493,1
277,Outdoor activities,Outdoor activities,"Reading, female, village",0.610772358,0.131447587,1.231851676,1
116,Entertainment spending,Entertainment spending,"male, Outdoor activities",0.408536585,0.28358209,1.229272142,1
321,Entertainment spending,Entertainment spending,"city, male, 19-22",0.408536585,0.21641791,1.216886994,1
633,Outdoor activities,Outdoor activities,"Reading, male",0.610772358,0.1281198,1.212210419,1
532,Entertainment spending,Entertainment spending,"city, male, Outdoor activities",0.408536585,0.186567164,1.207776905,1
246,Entertainment spending,Entertainment spending,"male, 19-22",0.408536585,0.305970149,1.204298507,1
19,Reading,Reading,"<19, female",0.451219512,0.186936937,1.202261085,1
386,Reading,Reading,"Economy Management, female",0.451219512,0.191441441,1.199862283,1
512,Outdoor activities,Outdoor activities,"Reading, village",0.610772358,0.169717138,1.192869028,1
361,Outdoor activities,Outdoor activities,"Healthy eating, Reading",0.610772358,0.153078203,1.186054738,1
82,Economy Management,Economy Management,"Entertainment spending, male",0.283536585,0.247311828,1.181334168,1
